Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;existeChequeDevolvido;28;5;12;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;[CONSTANTES, CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.util.campo.CamposSAE;obterDsParcelaApuracao;50;9;2;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;UNDEFINED;br.gov.se.sefaz.sae.ng.GerenciadorGNRE;obterCodigoProdutoSAE;17;3;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;vincularChequeDoc;37;4;14;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.cotacaoIPVA.IncluirCotacao;process;32;5;7;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;montarItens;98;27;11;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.percentCalculoReceita.AlterarPercentCalculoReceita;initialize;51;10;4;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;verificarIsencaoVigenteIPVA;12;5;7;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemICMS;process;38;8;10;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.dae.AlterarDAE;getOcorrenciasNavegacao;20;3;8;3;Metodo Longo;(1) Discordo Fortemente;;
 A, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.TransacaoCustodiais;getDadosOrdenadosIntervalo;7;1;6;4;Muitos Parametros;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacao;setItensDocumento;61;13;13;4;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.Contribuinte;setDadosPJC;20;2;6;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ListarAtvdEconCateg;setCAE;20;4;8;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.antecipacaoMensal.substituicao.ListarItensAntecipacaoMensal;setDetalheDocumento;20;4;7;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;alterarDadosDAE;421;194;18;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.GerarArqRepasseDAE;obterRepasseDAE;20;1;8;0;Metodo Longo;(1) Discordo Fortemente;;
