Tecnicas;Design Role;Classe;Método;LOC;CC;Efferent;NOP;Problema de Design;Deveria ser REFATORADO por conta desse problema?; Se DISCORDAR, quais os motivos? 
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.das.AlterarDASDesmembramentoConfirmar;process;27;4;8;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.EmitirDAEEspecialContribuinteNaoInscrito;process;87;27;14;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoGNREOnLine;registrarRecolhimentoDocumento;54;12;7;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarPrescricaoCancelamentoDAR;21;2;7;6;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorConcBancBase;atualizarValorDeDataReprocessada;36;4;16;4;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.objetoReferencia.ExcluirObjetoReferencia;process;20;2;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ReemitirDAEInternet;process;93;36;15;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;verificarAlteracaoDAEManualViaEletronica;623;169;16;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaeImpExpContribuinteInscritoEspecial;65;12;6;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.viaEletronica.ExcluirDAEManualViaEletronica;initialize;23;4;5;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;obterTermoAcordoVigente;17;4;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;tipoDocumentoDAE;7;4;2;1;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaePSDIEspecial;86;9;8;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;montarComboCnaefContribuinteInscrito;22;4;9;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaeICMSEspecialNaoInscrito;96;13;5;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;regAlteracaoCheque;9;1;4;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.contribuinteNaoInscrito.EmitirDAEEspecialContribuinteNaoInscrito;atualizarObsAntecipacaoMensal;15;6;6;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;ABAS;br.gov.se.sefaz.sae.consultas.to.documento.AbaBase;getNmPessoa;25;4;12;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;recRegimeTributacao;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;obterRepasse;14;11;7;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemDAEImpExp;42;15;11;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.ConsultarHistoricoCustodiais;getNavTotal;7;1;7;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirDetalheTaxaToSource;30;17;9;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;registrarReferenciaCheque;27;7;9;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;montarComboReceitaExtraOrcamentaria;13;2;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNREOnLine;validarDocumentoMovimentoConsolidado;130;29;25;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;getChequeDevolvido;27;3;8;4;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNRE;registrarRecolhimentoDocumento;189;55;24;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovOnLineGNREOnLine;registrar;20;4;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorTalonario;excluirDAECascata;21;1;3;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.repassarTalao.ConfirmaRepasseTalao;initialize;21;3;7;0;Metodo Longo;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.TransacaoIsencaoTributosBase;cadastrarPessoaFisicaJuridica;30;6;6;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.receita.ConsultarConversaoReceitaSAE;initialize;25;8;1;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.motivoDAEManual.AlterarMotivoDAEManual;process;24;2;9;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.vencimentoIcms.IncluirVencimentoIcms;initialize;50;7;9;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;exibirCamposDAE;199;83;19;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;getCampoAlterado;11;4;3;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirDetalheReceitaOutroOrgaoToSource;87;64;10;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;getEntidadeConvenioCollection;12;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemReceitaExtraOrcamentaria;process;24;5;9;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorConcBancBase;validarArquivoParaProcessar;12;5;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.cheqDev.ConsultarCheqDev;montaDoctoSaida;49;7;10;5;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;obterIndiceUFP;14;2;7;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.especial.GerarItemPSDI;process;31;5;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;gerarDAESAF;92;31;17;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIsencaoTributos;obterNrSolicitantePorRenavamPessoaIPVA;14;4;7;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;ABAS;br.gov.se.sefaz.sae.consultas.to.documento.AbaBase;preencheDocCabecalhoSAE;62;15;8;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.unidadeTalao.ExcluirUnidadeTalao;process;22;2;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaePSDIEspecial;86;9;8;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;calcularDigitoDAE;37;5;3;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.emitirTermoTransporteTalao.ConfirmarEmissãoTermoUnidade;process;26;5;14;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.ExibirDAEAvulso;process;24;5;7;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;alterarDadosDAE;421;194;18;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;carregarTipoDocOrigem;16;2;10;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;camposChequeAlterado;9;5;2;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.situacaoDAEManual.IncluirSituacaoDAEManual;process;18;2;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemPSDI;initialize;100;14;7;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.IPVA.DAOIPVASQLBean;recDescontoIpvaAnual;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;[CONSTANTES];br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;removerVencimentoICMS;4;1;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.receberTalao.ReceberTalao;process;29;4;13;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.situacaoChequeDev.AlterarSituacaoChequeDev;process;19;2;7;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDaePSDIEspecial;86;9;8;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.AtenderSolicitacaoEmAnaliseFinal;atualizarDadosIsencaoICMS;10;4;2;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorCheqDev;registrarAlteracaoCheque;21;7;4;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.ConsultarHistoricoCustodiais;comparaDataInicialFinal;10;8;2;6;Muitos Desvios;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;calcularValoresEncargosITD;19;3;5;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.valorOrcadoReceita.ExcluirValorOrcadoReceita;process;14;2;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;obterNomePessoaEmissor;28;12;3;2;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.dae.DesmembrarDAE;getOcorrenciasNavegacao;26;4;10;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.itemDAE.ListarItemsDAE;process;21;3;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoRecolhidos;getOcorrenciasNavegacao;20;3;9;4;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.concBanc.ConsultaConcBanc;getValorCampo;78;24;4;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;recSituacaoTalao;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;obtemItensDAEChequeDevolvido;9;1;5;5;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIPVA;logIPVAEntrada;11;4;7;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.inclusao.gnre.IncluirGNREConfirmar;setDAE;30;5;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;PERSISTENCE;br.gov.se.sefaz.sae.dao.custodiais.DAOSAESQLBean;recProdutoSAE;13;4;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;montaCriterioExibicao;23;5;5;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;[CONSTANTES];br.gov.se.sefaz.sae.ng.GerenciadorCustodiais;registrarHistoricoCustodialGMR;14;3;7;5;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.GerarItemReceitaExtraOrcamentaria;process;24;5;9;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.concBanc.ConsultaConcBanc;getCamposExibicao;28;8;6;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteInscrito.ExcluirItemDAE;initialize;17;4;5;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;registrarHistoricoDAS;3;1;2;9;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;montaQuery;173;26;14;2;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarAlteracaoDae;25;8;14;5;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroG;validarCodigoBarras;108;40;9;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.alteracao.docOrigem.AlterarDocOrigem;process;66;12;12;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.emitirTermoTransporteTalao.ConfirmarEmissãoTermoUnidade;initialize;17;2;8;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.listar.ReemitirAutorizacaoICMS;initialize;39;4;6;0;Muitos Desvios;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;gerarDAESIT;120;41;19;6;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.concBanc.ng.GerenciadorRepasse;consultarRepasseFunprevporPeriodo;26;10;6;5;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;montaDoctoSaida;123;37;14;5;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.percentRepasseReceita.IncluirPercentRepasseReceita;process;27;2;9;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;verificarAntecipacoes;31;13;7;1;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.ConsultarRepassePorBancoRepasse;setItensDocumento;72;6;12;3;Muitos Parametros;(1) Discordo Fortemente;;
 A, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.arquivo.ProcessarArquivoRecebidoBase;adicionarPendencia;3;1;3;4;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEAvulso;verificarFormaRecolhimentoSIT;33;15;4;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;UNDEFINED;br.gov.se.sefaz.sae.ng.GerenciadorGNRE;obterLocalidadeMunicipio;18;3;8;2;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.desmembramento.itemDae.ListarItensDesmembramentoDAE;registrarDesemembramentoItemDAE;222;80;15;4;Metodo Longo;(1) Discordo Fortemente;;
 A, V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.documento.ConsultaAvancadaSAE;montaFiltroDetalheDAE;108;17;5;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;CONSULTAAVANCADATRANSBASE;br.gov.se.sefaz.sae.consultas.to.concBanc.ConsultaConcBanc;montaCamposModoExibicaoIdent;10;5;3;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.produtoSAE.IncluirProdutoSAE;process;22;3;8;0;Metodo Longo;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.contribuinteNaoInscrito.ExcluirItemDAE;process;38;6;11;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;registrarReativacaoDAE;20;4;12;4;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.cadastro.conta.InserirContaBancaria;montarComboAgenciaAtiva;30;7;9;1;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.campoDoc.ExcluirCampoDoc;process;20;2;7;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.grupoMotivoReceita.ExcluirGMReceitaMensagem;initialize;22;2;2;0;Metodo Longo;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirItemDAEPSDI;93;27;14;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.tipoDesconto.ExcluirTipoDesconto;process;21;2;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;alterarDadosEmissao;36;34;10;5;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.emitirTermoEntregaTalao.EmitirTermoEntrega;process;21;4;12;0;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;registrarHistoricoDAE;30;9;12;11;Muitos Parametros;(1) Discordo Fortemente;;
 A, R, D, V, X ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;registrarAlteracaoDAS;124;27;17;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;verificarAlteracaoDesmembramentoDAS;83;35;8;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.IPVA.EfetuarSolicitacaoIsencaoIPVAInicioBase;initialize;67;11;7;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;obterVencimentoReceita;44;16;10;13;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.situacaoTalao.IncluirSituacaoTalao;process;20;3;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.motivoTalao.ExcluirMotivoTalao;process;22;2;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.EmitirDAEContribuinteNaoInscrito;initialize;51;12;10;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;REGISTROMOVCONSOLIDADO;br.gov.se.sefaz.sae.concBanc.ng.registro.RegistroG;validarCodigoBarras;108;40;9;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;formatarTelaDAEAvulsoContribInscrito;159;31;11;3;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.alterar.CorrigirNumeroTalaoDAEManual;process;90;13;19;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorDocArrecadacao;converterReceitaAntiga;19;2;6;2;Muitos Parametros;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorOperacional;validarDadosDASDesmembramento;32;14;10;3;Muitos Parametros;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;montarItensRegChequeDevolvido;18;2;9;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.talonario.to.emitirTermoTransporteTalao.ListarUnidadeComTalaoDistribuido;getOcorrenciasNavegacao;20;4;8;3;Metodo Longo;(1) Discordo Fortemente;;
 V ;[CONSTANTESEMISSAODAE];br.gov.se.sefaz.sae.ti.SAEIntegracaoSIT;cancelarDAESIT;13;5;6;2;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TEST;br.gov.se.sefaz.sae.ng.GerenciadorBase;obterVencimentoReceita;59;20;8;3;Muitos Parametros;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.objetoReferencia.ConsultarObjetoReferencia;process;19;3;8;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.custodiais.to.grupoMotivoReceita.AlterarGrupoMotivoReceita;process;34;3;11;0;Metodo Longo;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.isencaoTributos.to.alterar.AlterarIsencaoVeiculo;process;18;2;7;0;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;BACKGROUNDPROCESS;br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqChequeDevolvido;validar;198;58;22;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.concBanc.ListarDadosDetalhes;getCampoOrdenacao;6;4;1;1;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirSourceToResultImpExpContribuiteNaoInscrito;28;4;7;2;Metodo Longo;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.reemissao.ReemitirDAEInternet;process;93;36;15;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.conciliacaoBancaria.to.base.AlterarValorParametro;process;48;15;4;0;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;montarDocGrupoMotivoReceita;29;6;9;1;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 V ;GERENCIADORBASE;br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;validarFormaRecolhimentoDAEMensal;24;12;2;2;Muitos Desvios;(1) Discordo Fortemente;;
 D, V ;TRANSACAO;br.gov.se.sefaz.sae.consultas.to.documento.ItemDetalheDAE;montaDocOperIncons;22;6;8;2;Muitos Parametros;(1) Discordo Fortemente;;
 A, V, X ;TRANSACAO;br.gov.se.sefaz.sae.oper.to.TransacaoOperacional;montarComboCnaefContribInscrito;23;2;11;6;Alto Acoplamento Efferent;(1) Discordo Fortemente;;
 A, R, D, V, X ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;atribuirPropiedadesItemDae;92;41;3;3;Muitos Desvios;(1) Discordo Fortemente;;
 V ;TRANSACAO;br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;adicionarItemDAE;21;6;6;1;Metodo Longo;(1) Discordo Fortemente;;
