Classe                              ;DesignRole                        ;Concorda?;
br.gov.se.sefaz.sae.custodiais.to.receitaObjetoTipo.AlterarReceitaObjetoTipo;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.metasArrecadacao.IncluirMetasArrecadacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.produtoSAE.ExcluirProdutoSAE;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocOrigem.ConsultarTipoDocOrigem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.prorrogacaoDae.AlterarProrrogacaoDae;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.cotacaoIPVA.IncluirCotacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocumento.ConsultarTipoDocumento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.cotacaoIPVA.ConsultarCotacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoChequeDev.AlterarMotivoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.unidadeTalao.IncluirUnidadeTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoReceita.AlterarGrupoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.TransacaoCustodiais;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.documentosSolicitacao.IncluirDocumentosSolicitacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDesconto.ExcluirTipoDesconto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDocOrigem.ExcluirTipoDocOrigem;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.periodicidadeReceita.IncluirPeriodicidadeReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoSituacaoCampo.AlterarMotivoSituacaoCampo;UNDEFINED;SIM;
br.gov.se.sefaz.sae.custodiais.to.combSituacaoChequeDev.ConsultarCombSituacaoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.valorOrcadoReceita.ConsultarValorOrcadoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoDoc.AlterarSituacaoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.icmsContribInsc.IcmsContribInscBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.prorrogacaoDae.IncluirProrrogacaoDae;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.documentosSolicitacao.ConsultarDocumentosSolicitacao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.valorOrcadoReceita.ExcluirValorOrcadoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoReceita.AlterarMotivoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.histDataFechamentoMensal.ConsultarHistDataFechamentoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.regimeTributacaoIcms.IncluirRegimeTributacaoICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.percentRepasseReceita.IncluirPercentRepasseReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoTalao.ExcluirSituacaoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoDoc.ExcluirSituacaoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoProduto.IncluirGrupoProduto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoRecolhimento.AlterarGrupoRecolhimento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.entidade.AlterarEntidade;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoReceita.ExcluirGrupoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoReceita.ConsultarGrupoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.combSituacaoChequeDev.AlterarCombSituacaoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoTalao.ConsultaSituacaoTalao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.regimeTributacaoIcms.AlterarRegimeTributacaoICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.motivoAlteracaoDoc.AlterarMotivoAlteracaoDoc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDesconto.AlterarTipoDesconto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.formaRecolhimentoICMS.AlterarFormaRecolhimentoICMS;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.convenioProduto.AlterarConvenioProduto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.conversaoReceita.ExcluirConversaoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.histDataFechamentoMensal.ExibirHistDatafechamentoMensal;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.percentRepasseReceita.ExcluirPercentRepasseReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoDAEManual.ExcluirSituacaoDAEManual;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoContribuinteCateg.TipoContribuinteCategBase;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.icmsContribNaoInsc.AlterarICMSContribNaoInsc;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.conversaoReceita.IncluirConversaoReceita;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.periodicidadeApuracao.AlterarPeriodicidadeApuracao;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.grupoRecolhimento.ExcluirGrupoRecolhimento;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.tipoDesconto.ConsultarTipoDesconto;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.situacaoChequeDev.AlterarSituacaoChequeDev;TRANSACAO;SIM;
br.gov.se.sefaz.sae.custodiais.to.campoDoc.IncluirCampoDoc;TRANSACAO;SIM;
